kernel_width,num_elems,left_cycles,middle_cycles,right_cycles,walltime
3,1,37,35,40,0.23670339584350586
3,11,102,95,79,0.9216337203979492
3,21,162,155,114,0.294849157333374
3,31,222,215,149,0.3762502670288086
3,41,282,275,184,0.3931729793548584
3,51,342,335,219,0.4529988765716553
3,61,402,395,254,0.8082880973815918
3,71,462,455,289,0.6943073272705078
3,81,522,515,324,0.5827469825744629
3,91,582,575,359,0.6281569004058838
53,1,134,82,87,1.279341459274292
53,11,202,145,129,2.1039106845855713
53,21,262,205,164,4.0592122077941895
53,31,322,265,199,3.3336167335510254
53,41,382,325,234,4.664264440536499
53,51,442,385,269,4.031183958053589
53,61,502,445,304,4.571521759033203
53,71,562,505,339,5.662054061889648
53,81,622,565,374,7.029277801513672
53,91,682,625,409,6.824037790298462
103,1,234,132,137,3.474320888519287
103,11,302,195,179,4.794400453567505
103,21,362,255,214,5.375872850418091
103,31,422,315,249,9.85667896270752
103,41,482,375,284,10.806777477264404
103,51,542,435,319,14.067255735397339
103,61,602,495,354,13.738823890686035
103,71,662,555,389,11.22987413406372
103,81,722,615,424,20.238807439804077
103,91,782,675,459,23.0425226688385
153,1,334,182,187,4.5496625900268555
153,11,402,245,229,8.825584888458252
153,21,462,305,264,10.901486873626709
153,31,522,365,299,12.905477523803711
153,41,582,425,334,16.461474657058716
153,51,642,485,369,20.84748125076294
153,61,702,545,404,28.17983603477478
153,71,762,605,439,28.345125675201416
153,81,822,665,474,21.664045572280884
153,91,882,725,509,28.243072748184204
203,1,434,232,237,9.370859384536743
203,11,502,295,279,14.637631177902222
203,21,562,355,314,17.479060411453247
203,31,622,415,349,24.51897621154785
203,41,682,475,384,33.86782240867615
203,51,742,535,419,26.811746835708618
203,61,802,595,454,35.110682249069214
203,71,862,655,489,46.91574764251709
203,81,922,715,524,55.51157736778259
203,91,982,775,559,46.53271794319153
253,1,534,282,287,9.30316972732544
253,11,602,345,329,19.226430416107178
253,21,662,405,364,25.597059965133667
253,31,722,465,399,38.66758131980896
253,41,782,525,434,50.48142886161804
253,51,842,585,469,54.35476469993591
253,61,902,645,504,56.8005690574646
253,71,962,705,539,71.72515082359314
253,81,1022,765,574,83.27422332763672
253,91,1082,825,609,73.3794174194336
303,1,634,332,337,16.9149649143219
303,11,702,395,379,25.220232486724854
303,21,762,455,414,45.478951930999756
303,31,822,515,449,53.80419373512268
303,41,882,575,484,59.90075063705444
303,51,942,635,519,60.7306432723999
303,61,1002,695,554,77.75537776947021
303,71,1062,755,589,59.9766960144043
303,81,1122,815,624,65.83286237716675
303,91,1182,875,659,109.31934547424316
353,1,734,382,387,17.317124843597412
