kernel_width,num_elems,left_cycles,middle_cycles,right_cycles,walltime
3,1,41,37,44,59.78669047355652
3,11,119,110,96,80.99500918388367
3,21,189,178,141,80.9836266040802
3,31,261,252,188,80.81974530220032
3,41,333,325,235,80.96564650535583
3,51,407,398,284,80.78296303749084
3,61,482,473,334,80.89160490036011
3,71,556,547,384,80.87806725502014
3,81,631,622,435,80.7291488647461
3,91,705,696,484,80.82056522369385
103,1,273,138,145,80.85058927536011
103,11,347,207,193,80.74115204811096
103,21,412,270,233,80.80194091796875
103,31,478,338,274,80.8051221370697
103,41,543,404,314,80.67093968391418
103,51,608,468,354,81.26397037506104
103,61,674,534,395,80.98875188827515
103,71,738,598,435,80.75439548492432
103,81,804,664,475,80.92079019546509
103,91,868,728,516,80.81641697883606
203,1,533,296,303,80.76203846931458
203,11,606,364,350,81.01475739479065
203,21,673,429,392,80.77766966819763
203,31,739,497,433,80.75327658653259
203,41,803,562,472,80.85240840911865
203,51,869,627,513,80.7848653793335
203,61,933,691,552,81.08660769462585
203,71,999,757,593,81.36760926246643
203,81,1065,823,634,80.71933794021606
203,91,1131,889,675,80.76288437843323
303,1,762,397,404,80.94494199752808
303,11,835,465,451,80.78196501731873
303,21,902,530,493,85.0421679019928
303,31,967,597,533,81.82933759689331
303,41,1032,663,573,80.80761456489563
303,51,1097,727,613,80.81670808792114
303,61,1163,793,655,81.03744411468506
303,71,1229,859,695,80.87004375457764
303,81,1294,924,735,80.90546298027039
303,91,1359,989,776,81.05292296409607
403,1,1022,525,532,80.8141758441925
403,11,1096,594,580,80.82479548454285
403,21,1162,658,621,80.9654712677002
403,31,1226,724,660,80.89236354827881
403,41,1293,792,702,80.85058379173279
403,51,1358,856,742,81.04746747016907
403,61,1423,921,782,80.93371152877808
403,71,1488,986,822,80.82354092597961
403,81,1554,1052,863,80.9219810962677
403,91,1619,1117,904,80.71157836914062
503,1,1252,626,633,80.79682540893555
503,11,1325,694,680,80.84205842018127
503,21,1391,758,722,80.75733137130737
503,31,1456,825,761,80.9577362537384
503,41,1523,893,803,80.80167317390442
503,51,1587,956,842,80.72359848022461
503,61,1653,1022,883,80.85829710960388
503,71,1718,1087,923,80.84666228294373
503,81,1784,1153,964,80.77862596511841
503,91,1849,1218,1004,80.98840188980103
603,1,1510,784,791,80.80064654350281
603,11,1583,852,838,80.76975703239441
603,21,1651,918,881,80.94766306877136
603,31,1715,984,920,80.74149966239929
603,41,1781,1051,961,81.12007856369019
603,51,1846,1115,1001,81.04474592208862
603,61,1911,1180,1040,80.77603888511658
603,71,1976,1245,1081,80.96581029891968
603,81,2041,1310,1121,81.20442414283752
603,91,2108,1377,1163,80.77100467681885
703,1,1738,884,891,80.83527421951294
703,11,1812,952,938,80.97141766548157
703,21,1878,1016,979,80.72043418884277
703,31,1942,1082,1018,81.34913754463196
703,41,2009,1150,1060,80.963627576828
703,51,2073,1213,1099,80.77433204650879
703,61,2139,1279,1140,80.77471876144409
703,71,2205,1345,1181,81.04496836662292
703,81,2270,1410,1221,80.85230493545532
703,91,2335,1475,1261,80.79121136665344
