kernel_width,elems_per_pe,left_cycles,middle_cycles,right_cycles,walltime
8,1,29,47,30,61.11231589317322
8,11,110,110,168,81.40935897827148
8,21,179,186,294,81.72798442840576
8,31,243,258,417,81.26858615875244
8,41,308,334,543,81.67710757255554
8,51,367,403,662,81.36057543754578
8,61,446,483,792,81.56372404098511
8,71,507,557,916,81.42733573913574
8,81,562,628,1037,81.57369136810303
8,91,642,716,1174,81.39748287200928
8,101,704,785,1294,81.49164962768555
8,111,754,846,1405,81.47985482215881
8,121,837,932,1541,81.50608015060425
8,131,897,1005,1663,81.388343334198
8,141,957,1073,1782,81.46713185310364
8,151,1009,1135,1894,81.47651100158691
8,161,1067,1205,2014,81.4283492565155
8,171,1130,1278,2136,81.48168134689331
8,181,1223,1373,2282,81.40397906303406
8,191,1270,1431,2390,81.50200414657593
8,201,1325,1500,2509,81.38653063774109
8,211,1399,1584,2642,81.54302263259888
8,221,1464,1653,2762,81.42614126205444
8,231,1528,1723,2882,81.63838863372803
8,241,1580,1789,2998,81.43471336364746
8,251,1651,1871,3129,81.56722402572632
8,261,1711,1932,3242,81.31063652038574
8,271,1777,2011,3370,81.61867666244507
8,281,1843,2086,3495,81.42857909202576
8,291,1894,2154,3607,81.69747877120972
8,301,1955,2222,3731,81.4275267124176
8,311,2015,2285,3844,81.68222546577454
8,321,2065,2345,3954,81.25832438468933
8,331,2108,2399,4057,81.69240617752075
8,341,2179,2479,4188,81.73470139503479
8,351,2247,2556,4315,81.72340536117554
8,361,2316,2630,4440,81.33588981628418
8,371,2369,2691,4549,81.5696702003479
8,381,2434,2767,4676,81.2779631614685
8,391,2519,2857,4796,85.07845258712769
8,401,2553,2906,4915,81.40532445907593
8,411,2613,2978,5036,81.50449919700623
8,421,2669,3043,5152,81.39818596839905
8,431,2749,3125,5285,81.50599384307861
8,441,2778,3175,5384,81.39222455024719
8,451,2834,3239,5497,81.96174502372742
8,461,2927,3338,5647,81.51652574539185
8,471,2957,3382,5741,81.42962288856506
8,481,3011,3445,5855,81.54041051864624
8,491,3079,3522,5981,81.37013125419617
12,1,29,51,30,81.50679874420166
12,11,140,127,210,81.39112830162048
12,21,239,215,373,81.4850742816925
12,31,339,306,540,81.31157970428467
12,41,430,392,701,81.56373023986816
12,51,526,478,863,81.28466820716858
12,61,620,569,1028,81.5439612865448
