kernel_width,elems_per_pe,left_cycles,middle_cycles,right_cycles,walltime
8,1,27,41,27,0.4909040927886963
8,11,89,94,148,0.6501471996307373
8,21,138,154,258,1.000133752822876
8,31,178,211,365,1.0856876373291016
8,41,219,271,475,1.4747898578643799
8,51,260,331,585,1.4767394065856934
8,61,300,388,692,2.022686719894409
8,71,342,448,802,2.159670829772949
8,81,384,505,909,2.5821473598480225
8,91,426,565,1019,2.536970615386963
8,101,468,625,1129,2.8309426307678223
8,111,510,682,1236,5.608603000640869
8,121,552,742,1346,3.57576322555542
8,131,594,801,1455,3.504093885421753
8,141,637,859,1563,4.042424917221069
8,151,678,919,1673,3.912395477294922
8,161,720,976,1780,3.922577381134033
8,171,762,1036,1890,5.498355388641357
8,181,805,1096,2000,3.938188314437866
8,191,846,1153,2107,5.396556615829468
8,201,888,1213,2217,5.24029016494751
8,211,930,1270,2324,5.575159788131714
8,221,972,1330,2434,5.354827404022217
8,231,1014,1390,2544,5.727582931518555
8,241,1056,1447,2651,6.256914854049683
8,251,1098,1507,2761,6.716768741607666
8,261,1140,1566,2870,5.735911130905151
8,271,1183,1624,2978,6.445530414581299
8,281,1224,1684,3088,6.7337470054626465
8,291,1266,1741,3195,9.753983974456787
8,301,1308,1801,3305,10.655519247055054
8,311,1351,1861,3415,10.178559303283691
8,321,1392,1918,3522,10.065715789794922
8,331,1434,1978,3632,7.992872476577759
8,341,1476,2035,3739,8.428909063339233
8,351,1518,2095,3849,10.775162696838379
8,361,1560,2155,3959,8.453712940216064
8,371,1602,2212,4066,8.14838433265686
8,381,1644,2272,4176,11.926120042800903
8,391,1686,2331,4285,9.33450436592102
8,401,1729,2389,4393,10.807496309280396
8,411,1770,2449,4503,10.454994201660156
8,421,1812,2506,4610,10.062825441360474
8,431,1854,2566,4720,16.352330684661865
8,441,1897,2626,4830,11.547324657440186
8,451,1938,2683,4937,9.253703355789185
8,461,1980,2743,5047,11.354103565216064
8,471,2022,2800,5154,11.126193046569824
8,481,2064,2860,5264,12.846814393997192
8,491,2106,2920,5374,15.25314712524414
12,1,27,44,27,0.6055092811584473
12,11,118,115,194,0.8536367416381836
12,21,186,190,344,1.1325273513793945
12,31,250,265,494,1.3695080280303955
12,41,329,381,685,1.7356376647949219
12,51,397,463,842,2.0482962131500244
12,61,465,545,999,3.7858784198760986
12,71,533,627,1156,2.4686546325683594
12,81,601,709,1313,2.9103550910949707
12,91,669,791,1470,3.0831973552703857
12,101,738,873,1627,3.793539047241211
12,111,807,955,1784,6.161928176879883
12,121,874,1037,1941,5.436547756195068
12,131,942,1119,2098,3.9992969036102295
12,141,1011,1201,2255,4.232509136199951
12,151,1079,1283,2412,4.9260735511779785
12,161,1147,1365,2569,5.084658622741699
12,171,1215,1447,2726,5.73738956451416
12,181,1283,1532,2886,5.968629360198975
12,191,1351,1614,3043,6.041676998138428
12,201,1419,1696,3200,6.8391454219818115
12,211,1487,1780,3359,6.916518449783325
12,221,1555,1863,3517,6.884308815002441
12,231,1623,1945,3674,7.0491249561309814
12,241,1691,2027,3831,7.370571851730347
12,251,1759,2112,3991,8.848592758178711
12,261,1827,2194,4148,8.178342580795288
12,271,1895,2276,4305,8.376560688018799
12,281,1963,2360,4464,8.564419031143188
12,291,2031,2443,4622,10.501092433929443
12,301,2099,2525,4779,8.992975950241089
12,311,2167,2607,4936,9.334580183029175
12,321,2235,2692,5096,9.522345781326294
12,331,2303,2774,5253,9.741328954696655
12,341,2371,2856,5410,10.266738414764404
12,351,2439,2940,5569,46.98225522041321
12,361,2507,3023,5727,10.569687843322754
12,371,2575,3105,5884,11.436197280883789
12,381,2643,3187,6041,11.172817707061768
12,391,2711,3272,6201,13.229914426803589
12,401,2779,3354,6358,12.814584493637085
12,411,2847,3436,6515,12.175650835037231
12,421,2915,3520,6674,12.52977967262268
12,431,2983,3603,6832,12.454500675201416
12,441,3051,3685,6989,13.632719039916992
12,451,3119,3767,7146,12.840100765228271
12,461,3187,3852,7306,13.767835855484009
12,471,3255,3934,7463,14.857593297958374
12,481,3323,4016,7620,15.208845376968384
